Country,Latitude,Longitude,CAT,Category,ACT,Activity,UNIT,Unit,VAR,Variable,SRC,Source,TIME,Time,Value,Flag Codes,Flags
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR306,Food Waste - New South Wales,SOURCE3,Australia Institute 2009,2009,2009,250,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR313,Food Waste - Nothern territories,SOURCE3,Australia Institute 2009,2009,2009,249,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR336,Food waste - Queensland,SOURCE3,Australia Institute 2009,2009,2009,262,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR353,Food Waste - Tasmania,SOURCE3,Australia Institute 2009,2009,2009,226,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR362,Food waste - Victoria,SOURCE3,Australia Institute 2009,2009,2009,214,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCYBYCAPITA,Local Currency/capita,FWVAR363,Food waste - Western Australia,SOURCE3,Australia Institute 2009,2009,2009,238,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR368AUS,Food Waste (1 pers.),SOURCE3,Australia Institute 2009,2009,2009,363,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR369AUS,Food Waste (2 pers.),SOURCE3,Australia Institute 2009,2009,2009,506,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR370AUS,Food Waste (3 pers.),SOURCE3,Australia Institute 2009,2009,2009,782,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR371AUS,Food Waste (4 pers.),SOURCE3,Australia Institute 2009,2009,2009,784,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR372AUS,Food Waste (5 pers.),SOURCE3,Australia Institute 2009,2009,2009,1138,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR255AUS,Food Waste - Dairy products,SOURCE4,Autralian Government PSEIC,2010,2010,500,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR298,Food Waste - Meat and Fish,SOURCE4,Autralian Government PSEIC,2010,2010,600,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR391AUS,Food Waste from restaurants and take away,SOURCE4,Autralian Government PSEIC,2010,2010,1000,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR407AUS,Food Waste related to uneaten Fruit and vegetables,SOURCE4,Autralian Government PSEIC,2010,2010,1000,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR213,Food Waste,SOURCE5,Baker and al 2009,2009,2009,5200,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR213,Food Waste,SOURCE44,Government of South Australia 2010,2009,2009,5000,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR213,Food Waste,SOURCE61,NSW Government 2009,2009,2009,2556,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR259,Food Waste - Drinks,SOURCE61,NSW Government 2009,2009,2009,231,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR275,Food Waste - Fresh food,SOURCE61,NSW Government 2009,2009,2009,848,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR280,Food Waste - Frozen Foods,SOURCE61,NSW Government 2009,2009,2009,231,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR294,Food Waste - Leftovers,SOURCE61,NSW Government 2009,2009,2009,694,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR321,Food Waste - Packaged and long life products,SOURCE61,NSW Government 2009,2009,2009,372,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR352,Food Waste - Takeaway and home delivered food,SOURCE61,NSW Government 2009,2009,2009,180,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR213,Food Waste,SOURCE61,NSW Government 2009,2009,2009,1036,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR259,Food Waste - Drinks,SOURCE61,NSW Government 2009,2009,2009,94,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR275,Food Waste - Fresh food,SOURCE61,NSW Government 2009,2009,2009,343,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR280,Food Waste - Frozen Foods,SOURCE61,NSW Government 2009,2009,2009,94,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR294,Food Waste - Leftovers,SOURCE61,NSW Government 2009,2009,2009,281,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR321,Food Waste - Packaged and long life products,SOURCE61,NSW Government 2009,2009,2009,151,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,LOCALCURRENCY,Local Currency,FWVAR352,Food Waste - Takeaway and home delivered food,SOURCE61,NSW Government 2009,2009,2009,73,,
Australia,25.2744,133.7751,MAEI,3. Monetary and economic impact,HOUSEHOLDS,Households,MILLIONLOCALCURRENCY,Million Local Currency,FWVAR423AUS,Material disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2004,2004,351.909,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR305AUS,Food waste - National,SOURCE65,Recycled Organics Units,2006,2006,81866,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR305AUS,Food waste - National,SOURCE65,Recycled Organics Units,2007,2007,79272,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR305AUS,Food waste - National,SOURCE65,Recycled Organics Units,2008,2008,124023,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR305AUS,Food waste - National,SOURCE65,Recycled Organics Units,2009,2009,136089,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR305AUS,Food waste - National,SOURCE65,Recycled Organics Units,2010,2010,211775,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR305AUS,Food waste - National,SOURCE65,Recycled Organics Units,2011,2011,150555,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR307AUS,Food waste - New South Wales ,SOURCE65,Recycled Organics Units,2006,2006,49055,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR307AUS,Food waste - New South Wales ,SOURCE65,Recycled Organics Units,2007,2007,48920,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR307AUS,Food waste - New South Wales ,SOURCE65,Recycled Organics Units,2008,2008,105929,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR307AUS,Food waste - New South Wales ,SOURCE65,Recycled Organics Units,2009,2009,102500,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR307AUS,Food waste - New South Wales ,SOURCE65,Recycled Organics Units,2010,2010,100235,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR307AUS,Food waste - New South Wales ,SOURCE65,Recycled Organics Units,2011,2011,95490,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR336,Food waste - Queensland,SOURCE65,Recycled Organics Units,2008,2008,5500,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR336,Food waste - Queensland,SOURCE65,Recycled Organics Units,2009,2009,8626,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR336,Food waste - Queensland,SOURCE65,Recycled Organics Units,2010,2010,14280,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR336,Food waste - Queensland,SOURCE65,Recycled Organics Units,2011,2011,13980,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR344,Food waste - South Australia,SOURCE65,Recycled Organics Units,2006,2006,6005,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR344,Food waste - South Australia,SOURCE65,Recycled Organics Units,2007,2007,3981,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR344,Food waste - South Australia,SOURCE65,Recycled Organics Units,2008,2008,5796,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR344,Food waste - South Australia,SOURCE65,Recycled Organics Units,2009,2009,4820,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR344,Food waste - South Australia,SOURCE65,Recycled Organics Units,2010,2010,5687,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR344,Food waste - South Australia,SOURCE65,Recycled Organics Units,2011,2011,4379,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR362,Food waste - Victoria,SOURCE65,Recycled Organics Units,2006,2006,25796,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR362,Food waste - Victoria,SOURCE65,Recycled Organics Units,2007,2007,25796,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR362,Food waste - Victoria,SOURCE65,Recycled Organics Units,2009,2009,12966,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR362,Food waste - Victoria,SOURCE65,Recycled Organics Units,2010,2010,84120,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR362,Food waste - Victoria,SOURCE65,Recycled Organics Units,2011,2011,22368,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR363,Food waste - Western Australia,SOURCE65,Recycled Organics Units,2006,2006,1010,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR363,Food waste - Western Australia,SOURCE65,Recycled Organics Units,2007,2007,575,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR363,Food waste - Western Australia,SOURCE65,Recycled Organics Units,2008,2008,6798,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR363,Food waste - Western Australia,SOURCE65,Recycled Organics Units,2009,2009,7177,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR363,Food waste - Western Australia,SOURCE65,Recycled Organics Units,2010,2010,7453,,
Australia,25.2744,133.7751,FLFW,1. Food loss - Food waste,TOTAL,Total,TONNES,tonnes,FWVAR363,Food waste - Western Australia,SOURCE65,Recycled Organics Units,2011,2011,14338,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR536AUS,Waste disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2001,2001,3610000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR536AUS,Waste disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2002,2002,2822000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR536AUS,Waste disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2003,2003,2818000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR536AUS,Waste disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2004,2004,3935000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR536AUS,Waste disposed of to landfill in Queensland,SOURCE83,TEC 2007  ,2005,2005,6025000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR537AUS,Waste generated in Queensland,SOURCE83,TEC 2007  ,2001,2001,4198000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR537AUS,Waste generated in Queensland,SOURCE83,TEC 2007  ,2002,2002,3726000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR537AUS,Waste generated in Queensland,SOURCE83,TEC 2007  ,2003,2003,4198000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR537AUS,Waste generated in Queensland,SOURCE83,TEC 2007  ,2004,2004,5930000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR537AUS,Waste generated in Queensland,SOURCE83,TEC 2007  ,2005,2005,8297000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR410AUS,Green and organic Waste generated in Queensland,SOURCE83,TEC 2007  ,2002,2002,630000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR410AUS,Green and organic Waste generated in Queensland,SOURCE83,TEC 2007  ,2003,2003,550000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR410AUS,Green and organic Waste generated in Queensland,SOURCE83,TEC 2007  ,2004,2004,681000,,
Australia,25.2744,133.7751,WIG,2. Waste in general,CONTEXTUALDATA,Contextual data,TONNES,tonnes,FWVAR410AUS,Green and organic Waste generated in Queensland,SOURCE83,TEC 2007  ,2005,2005,927000,,
