geographicaream49,country,measureditemcpc,crop,timepointyears,loss_per_clean,fsc_location1
144,Sri Lanka,112,maize (corn),2010,3.0018,Total Supply Chain Estimate
144,Sri Lanka,113,rice,2010,5.9991,Total Supply Chain Estimate
144,Sri Lanka,118,millet,2010,4.543,Total Supply Chain Estimate
144,Sri Lanka,141,soya beans,2010,3.5904,Total Supply Chain Estimate
144,Sri Lanka,142,"Groundnuts, Excluding Shelled",2010,3.97,Total Supply Chain Estimate
144,Sri Lanka,142,"groundnuts, excluding shelled",2010,3.9721,Total Supply Chain Estimate
144,Sri Lanka,1510,Potatoes,2010,35.2,Total Supply Chain Estimate
144,Sri Lanka,1510,potatoes,2010,9.9987,Total Supply Chain Estimate
144,Sri Lanka,1520.01,"cassava, fresh",2010,5.0007,Total Supply Chain Estimate
144,Sri Lanka,1530,sweet potatoes,2010,4.9935,Total Supply Chain Estimate
152,Chile,1341,apples,2010,0.6157,Total Supply Chain Estimate
152,Chile,2211,raw milk of cattle,2010,1.5415,Total Supply Chain Estimate
188,Costa Rica,1312,bananas,2010,2.7725,Total Supply Chain Estimate
192,Cuba,112,Maize (Corn),2010,16.77,Total Supply Chain Estimate
192,Cuba,112,maize (corn),2010,4.8995,Total Supply Chain Estimate
192,Cuba,112,maize (corn),2010,4.8995,Total Supply Chain Estimate
192,Cuba,112,maize (corn),2010,4.8995,Total Supply Chain Estimate
192,Cuba,1313,Plantains And Others,2010,1.01,Total Supply Chain Estimate
192,Cuba,1313,plantains and others,2010,1.0086,Total Supply Chain Estimate
192,Cuba,1510,Potatoes,2010,2.14,Total Supply Chain Estimate
192,Cuba,1510,potatoes,2010,2.141,Total Supply Chain Estimate
192,Cuba,1530,sweet potatoes,2010,4.4965,Total Supply Chain Estimate
192,Cuba,1701,"Beans, Dry",2010,0.37,Total Supply Chain Estimate
192,Cuba,1701,"beans, dry",2010,0.373,Total Supply Chain Estimate
196,Cyprus,115,barley,2010,0.5427,Total Supply Chain Estimate
203,Czechia,111,wheat,2010,0.6248,Total Supply Chain Estimate
203,Czechia,115,barley,2010,0.6311,Total Supply Chain Estimate
203,Czechia,116,rye,2010,0.8458,Total Supply Chain Estimate
203,Czechia,117,oats,2010,0.9404,Total Supply Chain Estimate
203,Czechia,1330,grapes,2010,3.0486,Total Supply Chain Estimate
204,Benin,114,Sorghum,2010,8.5,Harvest
204,Benin,1234,Tomatoes,2010,27.2,Retail
204,Benin,1234,Tomatoes,2010,26,Producer
204,Benin,1234,Tomatoes,2010,26.2,Wholesale
204,Benin,1234,Tomatoes,2010,53,Producer
204,Benin,1316,Mangoes,2010,45.4,Wholesale
204,Benin,1316,Mangoes,2010,49.5,Retail
204,Benin,1318,Pineapples,2010,13.9,Wholesale
204,Benin,1318,Pineapples,2010,22,Retail
204,Benin,1323,Oranges,2010,30.95,Retail
204,Benin,1323,Oranges,2010,10,Producer
204,Benin,1323,Oranges,2010,26.3,Wholesale
204,Benin,1323,Oranges,2010,26.3,Wholesale
204,Benin,1651,"Pepper, Sweet",2010,10.45,Producer
204,Benin,1651,"Pepper, Sweet",2010,9.5,Retail
204,Benin,1651,"Pepper, Sweet",2010,12.1,Wholesale
208,Denmark,111,Wheat,2010,3,Total Supply Chain Estimate
208,Denmark,111,wheat,2010,3.002,Total Supply Chain Estimate
208,Denmark,115,Barley,2010,3,Total Supply Chain Estimate
208,Denmark,115,barley,2010,2.9953,Total Supply Chain Estimate
208,Denmark,116,rye,2010,3.0232,Total Supply Chain Estimate
208,Denmark,117,Oats,2010,3.06,Total Supply Chain Estimate
208,Denmark,117,oats,2010,3.0612,Total Supply Chain Estimate
208,Denmark,1212,cabbages,2010,13.21,Total Supply Chain Estimate
208,Denmark,1214,lettuce and chicory,2010,6.2887,Total Supply Chain Estimate
208,Denmark,1251,carrots and turnips,2010,14.3089,Total Supply Chain Estimate
208,Denmark,1253.02,"onions and shallots, dry (excluding dehydrated)",2010,7.2699,Total Supply Chain Estimate
208,Denmark,1270,mushrooms and truffles,2010,5.6465,Total Supply Chain Estimate
208,Denmark,1341,apples,2010,4.9291,Total Supply Chain Estimate
208,Denmark,1342.01,pears,2010,1.378,Total Supply Chain Estimate
208,Denmark,1510,Potatoes,2010,15.97,Total Supply Chain Estimate
208,Denmark,1510,potatoes,2010,15.967,Total Supply Chain Estimate
208,Denmark,1705,"peas, dry",2010,3.5714,Total Supply Chain Estimate
208,Denmark,231,"hen eggs in shell, fresh",2010,1.0474,Total Supply Chain Estimate
218,Ecuador,111,wheat,2010,0.105,Total Supply Chain Estimate
218,Ecuador,113,rice,2010,4.3958,Total Supply Chain Estimate
218,Ecuador,115,barley,2010,4.2705,Total Supply Chain Estimate
218,Ecuador,117,oats,2010,0.9877,Total Supply Chain Estimate
218,Ecuador,1312,bananas,2010,0.6304,Total Supply Chain Estimate
218,Ecuador,1313,plantains and others,2010,1.8272,Total Supply Chain Estimate
218,Ecuador,1319,"other tropical fruits, n.e.c.",2010,0.1627,Total Supply Chain Estimate
218,Ecuador,1330,grapes,2010,0,Total Supply Chain Estimate
218,Ecuador,1354,strawberries,2010,0.0533,Total Supply Chain Estimate
218,Ecuador,1355.9,other berries and fruits of the genus vaccinium,2010,18.507,Total Supply Chain Estimate
218,Ecuador,1599.1,"edible roots and tubers with high starch or inulin content, n.e.c., fresh",2010,2.5,Total Supply Chain Estimate
218,Ecuador,1610,"coffee, green",2010,1.595,Total Supply Chain Estimate
218,Ecuador,1921.01,"seed cotton, unginned",2010,2.0101,Total Supply Chain Estimate
222,El Salvador,1610,"coffee, green",2010,1.8644,Total Supply Chain Estimate
222,El Salvador,1802,sugar cane,2010,0.5148,Total Supply Chain Estimate
231,Ethiopia,112,Maize (Corn),2010,4,Producer
231,Ethiopia,112,Maize (Corn),2010,4,Storage
233,Estonia,115,Barley,2010,0.4,Total Supply Chain Estimate
233,Estonia,115,Barley,2010,0.74,Total Supply Chain Estimate
233,Estonia,115,barley,2010,0.4018,Total Supply Chain Estimate
233,Estonia,116,rye,2010,0.76,Total Supply Chain Estimate
250,France,111,wheat,2010,0.9291,Total Supply Chain Estimate
250,France,112,maize (corn),2010,0.8873,Total Supply Chain Estimate
250,France,112,maize (corn),2010,0.8873,Total Supply Chain Estimate
250,France,112,maize (corn),2010,0.8873,Total Supply Chain Estimate
250,France,113,rice,2010,0.8322,Total Supply Chain Estimate
250,France,115,barley,2010,0.8217,Total Supply Chain Estimate
250,France,117,oats,2010,0.647,Total Supply Chain Estimate
250,France,1213,cauliflowers and broccoli,2010,12.7128,Total Supply Chain Estimate
250,France,1234,tomatoes,2010,17.2041,Total Supply Chain Estimate
250,France,1341,apples,2010,4.5681,Total Supply Chain Estimate
250,France,1510,potatoes,2010,15.8259,Total Supply Chain Estimate
250,France,2211,raw milk of cattle,2010,0.1824,Total Supply Chain Estimate
250,France,2291,raw milk of sheep,2010,0.6558,Total Supply Chain Estimate
250,France,231,"hen eggs in shell, fresh",2010,0.8663,Total Supply Chain Estimate
266,Gabon,1313,plantains and others,2010,27.5791,Total Supply Chain Estimate
266,Gabon,1520.01,"cassava, fresh",2010,19.1896,Total Supply Chain Estimate
266,Gabon,1540,yams,2010,17.3684,Total Supply Chain Estimate
268,Georgia,111,Wheat,2010,24.79,Total Supply Chain Estimate
268,Georgia,111,wheat,2010,1.5615,Total Supply Chain Estimate
268,Georgia,112,Maize (Corn),2010,3.54,Total Supply Chain Estimate
268,Georgia,112,maize (corn),2010,3.5436,Total Supply Chain Estimate
268,Georgia,112,maize (corn),2010,3.5436,Total Supply Chain Estimate
268,Georgia,112,maize (corn),2010,3.5436,Total Supply Chain Estimate
268,Georgia,1330,Grapes,2010,3.31,Total Supply Chain Estimate
268,Georgia,1330,grapes,2010,3.314,Total Supply Chain Estimate
268,Georgia,1510,Potatoes,2010,0.44,Total Supply Chain Estimate
268,Georgia,1510,potatoes,2010,0.4371,Total Supply Chain Estimate
276,Germany,111,Wheat,2010,2.65,Total Supply Chain Estimate
276,Germany,111,wheat,2010,2.6826,Total Supply Chain Estimate
276,Germany,112,Maize (Corn),2010,3.02,Total Supply Chain Estimate
276,Germany,112,maize (corn),2010,2.9206,Total Supply Chain Estimate
276,Germany,112,maize (corn),2010,2.9206,Total Supply Chain Estimate
276,Germany,112,maize (corn),2010,2.9206,Total Supply Chain Estimate
276,Germany,115,Barley,2010,2.31,Total Supply Chain Estimate
276,Germany,115,barley,2010,2.3337,Total Supply Chain Estimate
276,Germany,116,rye,2010,2.5858,Total Supply Chain Estimate
276,Germany,117,Oats,2010,3,Total Supply Chain Estimate
276,Germany,117,oats,2010,3.0098,Total Supply Chain Estimate
276,Germany,1191,triticale,2010,2.0399,Total Supply Chain Estimate
276,Germany,1290.9,"other vegetables, fresh n.e.c.",2010,6.9211,Total Supply Chain Estimate
276,Germany,1341,apples,2010,1.1977,Total Supply Chain Estimate
276,Germany,141,soya beans,2010,0.3545,Total Supply Chain Estimate
276,Germany,1441,linseed,2010,1.0538,Total Supply Chain Estimate
276,Germany,1442,mustard seed,2010,1.5385,Total Supply Chain Estimate
276,Germany,1443,Rapeseed Or Colza Seed,2010,2.23,Total Supply Chain Estimate
276,Germany,1443,rapeseed or colza seed,2010,2.229,Total Supply Chain Estimate
276,Germany,1445,sunflower seed,2010,2.1169,Total Supply Chain Estimate
276,Germany,1448,poppy seed,2010,6.9585,Total Supply Chain Estimate
276,Germany,1510,potatoes,2010,9.8589,Total Supply Chain Estimate
276,Germany,2211,raw milk of cattle,2010,0.1351,Total Supply Chain Estimate
276,Germany,231,"hen eggs in shell, fresh",2010,0.9058,Total Supply Chain Estimate
276,Germany,21111.01,"meat of cattle with the bone, fresh or chilled",2010,0.4149,Total Supply Chain Estimate
288,Ghana,112,Maize (Corn),2010,0.31,Storage
288,Ghana,112,Maize (Corn),2010,0.28,Storage
288,Ghana,112,Maize (Corn),2010,9.56,Storage
288,Ghana,112,Maize (Corn),2010,17.95,Storage
288,Ghana,112,Maize (Corn),2010,0.31,Storage
288,Ghana,112,Maize (Corn),2010,0.28,Storage
288,Ghana,112,Maize (Corn),2010,9.56,Storage
288,Ghana,112,Maize (Corn),2010,17.95,Storage
288,Ghana,1212,Cabbages,2010,19.25,Wholesale
288,Ghana,1212,Cabbages,2010,25,Retail
288,Ghana,1212,Cabbages,2010,38,Producer
288,Ghana,1212,Cabbages,2010,38,Producer
288,Ghana,1212,Cabbages,2010,19.25,Wholesale
288,Ghana,1233,Eggplant,2010,8.1,Retail
288,Ghana,1233,Eggplant,2010,10.5,Wholesale
288,Ghana,1233,Eggplant,2010,12.4,Producer
288,Ghana,1233,Eggplant,2010,8.1,Retail
288,Ghana,1233,Eggplant,2010,12.4,Producer
288,Ghana,1234,Tomatoes,2010,21.5,Wholesale
288,Ghana,1234,Tomatoes,2010,22.5,Retail
288,Ghana,1234,Tomatoes,2010,23,Retail
288,Ghana,1234,Tomatoes,2010,25,Producer
288,Ghana,1234,Tomatoes,2010,35.5,Wholesale
288,Ghana,1234,Tomatoes,2010,50.5,Producer
288,Ghana,1234,Tomatoes,2010,16.75,Retail
288,Ghana,1234,Tomatoes,2010,17.75,Wholesale
288,Ghana,1234,Tomatoes,2010,25.25,Producer
288,Ghana,1313,Plantain,2010,21,Retail
288,Ghana,1313,Plantain,2010,26,Wholesale
288,Ghana,1313,Plantain,2010,21,Retail
288,Ghana,1313,Plantain,2010,26,Wholesale
288,Ghana,1316,Mangoes,2010,4.15,Producer
288,Ghana,1316,Mangoes,2010,4.5,Retail
288,Ghana,1316,Mangoes,2010,5.4,Wholesale
288,Ghana,1316,Mangoes,2010,6,Producer
288,Ghana,1316,Mangoes,2010,10,Wholesale
288,Ghana,1316,Mangoes,2010,6,Producer
288,Ghana,1316,Mangoes,2010,10,Wholesale
288,Ghana,1316,Mangoes,2010,4.15,Producer
288,Ghana,1316,Mangoes,2010,5.4,Wholesale
288,Ghana,1316,Mangoes,2010,1.5,Producer
288,Ghana,1316,Mangoes,2010,2.5,Storage
288,Ghana,1316,Mangoes,2010,3,Harvest
288,Ghana,1316,Mangoes,2010,3.5,Processing
288,Ghana,1316,Mangoes,2010,5,Processing
288,Ghana,1316,Mangoes,2010,3,Harvest
288,Ghana,1316,Mangoes,2010,4.8,Producer
288,Ghana,1316,Mangoes,2010,5.4,Wholesale
288,Ghana,1316,Mangoes,2010,9,Retail
288,Ghana,1316,Mangoes,2010,1.5,Producer
288,Ghana,1316,Mangoes,2010,2.5,Storage
288,Ghana,1316,Mangoes,2010,3.5,Processing
288,Ghana,1316,Mangoes,2010,5,Processing
288,Ghana,1318,Pineapples,2010,9.6,Producer
288,Ghana,1318,Pineapples,2010,20,
288,Ghana,1318,Pineapples,2010,20.65,Retail
288,Ghana,1318,Pineapples,2010,27.15,Wholesale
288,Ghana,1318,Pineapples,2010,9.6,Producer
288,Ghana,1318,Pineapples,2010,20.65,Retail
288,Ghana,1318,Pineapples,2010,27.15,Wholesale
288,Ghana,1318,Pineapples,2010,20,
288,Ghana,142,"groundnuts, excluding shelled",2010,2.3357,Total Supply Chain Estimate
288,Ghana,1540,yams,2010,16.7772,Total Supply Chain Estimate
288,Ghana,1550,taro ,2010,31.0009,Total Supply Chain Estimate
288,Ghana,1651,"Pepper, Sweet",2010,9.8,Wholesale
288,Ghana,1651,"Pepper, Sweet",2010,13.1,Retail
288,Ghana,1651,"Pepper, Sweet",2010,15.55,Producer
288,Ghana,1651,"Pepper, Sweet",2010,9.8,Wholesale
288,Ghana,1651,"Pepper, Sweet",2010,13.1,Retail
288,Ghana,1651,"Pepper, Sweet",2010,15.55,Producer
288,Ghana,1706,Cowpea,2010,10.6,Storage
300,Greece,1323,oranges,2010,11.0478,Total Supply Chain Estimate
300,Greece,1510,potatoes,2010,8.4511,Total Supply Chain Estimate
31,Azerbaijan,111,wheat,2010,1.6451,Total Supply Chain Estimate
31,Azerbaijan,112,Maize (Corn),2010,3.66,Total Supply Chain Estimate
31,Azerbaijan,112,maize (corn),2010,3.6601,Total Supply Chain Estimate
31,Azerbaijan,112,maize (corn),2010,3.6601,Total Supply Chain Estimate
31,Azerbaijan,112,maize (corn),2010,3.6601,Total Supply Chain Estimate
31,Azerbaijan,113,rice,2010,3.0303,Total Supply Chain Estimate
31,Azerbaijan,115,barley,2010,1.1299,Total Supply Chain Estimate
31,Azerbaijan,1221,watermelons,2010,8.6722,Total Supply Chain Estimate
31,Azerbaijan,1233,eggplants (aubergines),2010,1.888,Total Supply Chain Estimate
31,Azerbaijan,1510,Potatoes,2010,0.98,Total Supply Chain Estimate
31,Azerbaijan,1510,Potatoes,2010,0.98,Total Supply Chain Estimate
31,Azerbaijan,1510,potatoes,2010,0.9818,Total Supply Chain Estimate
32,Argentina,112,maize (corn),2010,1.3237,Total Supply Chain Estimate
32,Argentina,112,maize (corn),2010,1.3237,Total Supply Chain Estimate
32,Argentina,112,maize (corn),2010,1.3237,Total Supply Chain Estimate
32,Argentina,1520.01,"cassava, fresh",2010,8.2508,Total Supply Chain Estimate
320,Guatemala,111,wheat,2010,0.1013,Total Supply Chain Estimate
320,Guatemala,112,maize (corn),2010,3.4793,Total Supply Chain Estimate
320,Guatemala,112,maize (corn),2010,3.4793,Total Supply Chain Estimate
320,Guatemala,112,maize (corn),2010,3.4793,Total Supply Chain Estimate
320,Guatemala,113,rice,2010,1.1192,Total Supply Chain Estimate
320,Guatemala,114,sorghum,2010,3.6255,Total Supply Chain Estimate
320,Guatemala,1231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",2010,9.9982,Total Supply Chain Estimate
320,Guatemala,1234,tomatoes,2010,12.0514,Total Supply Chain Estimate
320,Guatemala,1253.02,"onions and shallots, dry (excluding dehydrated)",2010,9.0045,Total Supply Chain Estimate
320,Guatemala,1311,Avocados,2010,20,Total Supply Chain Estimate
320,Guatemala,1311,avocados,2010,19.9964,Total Supply Chain Estimate
320,Guatemala,1318,Pineapples,2010,20,Total Supply Chain Estimate
320,Guatemala,1318,pineapples,2010,19.9965,Total Supply Chain Estimate
320,Guatemala,1610,"coffee, green",2010,0.4026,Total Supply Chain Estimate
320,Guatemala,1652,Chillies And Peppers,2010,10,Total Supply Chain Estimate
320,Guatemala,1701,"Beans, Dry",2010,15.4,Total Supply Chain Estimate
320,Guatemala,1701,"beans, dry",2010,14.46,Total Supply Chain Estimate
320,Guatemala,1802,sugar cane,2010,1,Total Supply Chain Estimate
324,Guinea,112,Maize (Corn),2010,3.1,Producer
324,Guinea,112,Maize (Corn),2010,3.1,Storage
332,Haiti,1316,Mangoes,2010,50,Producer
332,Haiti,1316,Mangoes,2010,50,Producer
348,Hungary,111,Wheat,2010,1.95,Total Supply Chain Estimate
348,Hungary,111,wheat,2010,1.9457,Total Supply Chain Estimate
348,Hungary,112,Maize (Corn),2010,2.78,Total Supply Chain Estimate
348,Hungary,112,maize (corn),2010,2.7834,Total Supply Chain Estimate
348,Hungary,112,maize (corn),2010,2.7834,Total Supply Chain Estimate
348,Hungary,112,maize (corn),2010,2.7834,Total Supply Chain Estimate
348,Hungary,113,rice,2010,1.0351,Total Supply Chain Estimate
348,Hungary,116,rye,2010,1.5607,Total Supply Chain Estimate
348,Hungary,117,Oats,2010,1.1,Total Supply Chain Estimate
348,Hungary,117,oats,2010,1.0977,Total Supply Chain Estimate
348,Hungary,1212,cabbages,2010,7.0522,Total Supply Chain Estimate
348,Hungary,1221,watermelons,2010,2.4099,Total Supply Chain Estimate
348,Hungary,1229,cantaloupes and other melons,2010,1.5129,Total Supply Chain Estimate
348,Hungary,1231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",2010,3.6751,Total Supply Chain Estimate
348,Hungary,1232,cucumbers and gherkins,2010,1.0529,Total Supply Chain Estimate
348,Hungary,1234,tomatoes,2010,0.9682,Total Supply Chain Estimate
348,Hungary,1235,"pumpkins, squash and gourds",2010,1.2186,Total Supply Chain Estimate
348,Hungary,1241.9,"other beans, green",2010,0.8669,Total Supply Chain Estimate
348,Hungary,1242,"peas, green",2010,1.4736,Total Supply Chain Estimate
348,Hungary,1251,carrots and turnips,2010,5.1254,Total Supply Chain Estimate
348,Hungary,1253.02,"onions and shallots, dry (excluding dehydrated)",2010,4.157,Total Supply Chain Estimate
348,Hungary,1290.9,"other vegetables, fresh n.e.c.",2010,2.2635,Total Supply Chain Estimate
348,Hungary,1330,grapes,2010,0.0017,Total Supply Chain Estimate
348,Hungary,1341,apples,2010,0.966,Total Supply Chain Estimate
348,Hungary,1342.01,pears,2010,0.9307,Total Supply Chain Estimate
348,Hungary,1343,apricots,2010,0.1848,Total Supply Chain Estimate
348,Hungary,1344.01,sour cherries,2010,0.4434,Total Supply Chain Estimate
348,Hungary,1344.02,cherries,2010,1.9104,Total Supply Chain Estimate
348,Hungary,1345,peaches and nectarines,2010,0.3506,Total Supply Chain Estimate
348,Hungary,1346,plums and sloes,2010,0.3528,Total Supply Chain Estimate
348,Hungary,1351.01,currants,2010,0.3893,Total Supply Chain Estimate
348,Hungary,1353.01,raspberries,2010,0.6281,Total Supply Chain Estimate
348,Hungary,1354,strawberries,2010,0.5203,Total Supply Chain Estimate
348,Hungary,1371,"almonds, in shell",2010,19.0476,Total Supply Chain Estimate
348,Hungary,141,soya beans,2010,0.1416,Total Supply Chain Estimate
348,Hungary,1443,Rapeseed Or Colza Seed,2010,0.31,Total Supply Chain Estimate
348,Hungary,1443,rapeseed or colza seed,2010,0.3104,Total Supply Chain Estimate
348,Hungary,1445,sunflower seed,2010,1.1521,Total Supply Chain Estimate
348,Hungary,1510,Potatoes,2010,4.23,Total Supply Chain Estimate
348,Hungary,1510,potatoes,2010,4.2283,Total Supply Chain Estimate
348,Hungary,1701,"beans, dry",2010,0.9174,Total Supply Chain Estimate
348,Hungary,1704,"lentils, dry",2010,1.4035,Total Supply Chain Estimate
348,Hungary,231,"hen eggs in shell, fresh",2010,1.1199,Total Supply Chain Estimate
348,Hungary,21111.01,"meat of cattle with the bone, fresh or chilled",2010,1.8117,Total Supply Chain Estimate
348,Hungary,21121,"meat of chickens, fresh or chilled",2010,4.5173,Total Supply Chain Estimate
348,Hungary,21151,"edible offal of cattle, fresh, chilled or frozen",2010,7.0077,Total Supply Chain Estimate
348,Hungary,21153,"edible offal of pigs, fresh, chilled or frozen",2010,5.225,Total Supply Chain Estimate
356,India,1213,Cauliflower,2010,35.5,Harvest
356,India,1232,Cucurbits,2010,15,Harvest
356,India,1232,Cucurbits,2010,5.4,Wholesale
356,India,1232,Cucurbits,2010,7.1,Retail
356,India,1232,Cucurbits,2010,8.6,Producer
356,India,1233,Eggplant,2010,7.1,Retail
356,India,1233,Eggplant,2010,10.75,Producer
356,India,1233,Eggplant,2010,12.8,Wholesale
356,India,1234,Tomatoes,2010,17.5,Producer
356,India,1234,Tomatoes,2010,4.2,Harvest
356,India,1234,Tomatoes,2010,4.74,Producer
356,India,1234,Tomatoes,2010,9.44,Storage
356,India,1234,Tomatoes,2010,11.88,Transport
356,India,1234,Tomatoes,2010,7.5,Producer
356,India,1234,Tomatoes,2010,11.05,Wholesale
356,India,1234,Tomatoes,2010,12.45,Retail
356,India,1312,Bananas,2010,28.5,Harvest
356,India,1316,Mangoes,2010,24.75,Harvest
356,India,1316,Guava,2010,27.5,Harvest
356,India,1316,Mangoes,2010,3,Harvest
356,India,1316,Mangoes,2010,4,Retail
356,India,1316,Mangoes,2010,4.5,Producer
356,India,1316,Mangoes,2010,5.75,Storage
356,India,1316,Mangoes,2010,7.5,Transport
356,India,1316,Mangoes,2010,5.75,Producer
356,India,1316,Mangoes,2010,6.95,Wholesale
356,India,1316,Mangoes,2010,8.3,Retail
356,India,1510,Potatoes,2010,23.5,Harvest
356,India,231,Eggplant  (Brinjal),2010,62.5,Harvest
360,Indonesia,112,maize (corn),2010,5.4562,Total Supply Chain Estimate
360,Indonesia,112,maize (corn),2010,5.4562,Total Supply Chain Estimate
360,Indonesia,112,maize (corn),2010,5.4562,Total Supply Chain Estimate
360,Indonesia,113,rice,2010,5.4001,Total Supply Chain Estimate
360,Indonesia,1354,Strawberries,2010,30,
360,Indonesia,141,soya beans,2010,4.5325,Total Supply Chain Estimate
360,Indonesia,142,"groundnuts, excluding shelled",2010,1.2294,Total Supply Chain Estimate
360,Indonesia,1510,potatoes,2010,5.1847,Total Supply Chain Estimate
360,Indonesia,1520.01,"cassava, fresh",2010,12.9985,Total Supply Chain Estimate
360,Indonesia,1530,sweet potatoes,2010,9.9949,Total Supply Chain Estimate
360,Indonesia,2211,raw milk of cattle,2010,5.0026,Total Supply Chain Estimate
372,Ireland,111,Wheat,2010,3.29,Total Supply Chain Estimate
372,Ireland,111,wheat,2010,3.2875,Total Supply Chain Estimate
372,Ireland,115,Barley,2010,2.37,Total Supply Chain Estimate
372,Ireland,115,barley,2010,2.371,Total Supply Chain Estimate
372,Ireland,117,Oats,2010,2.03,Total Supply Chain Estimate
372,Ireland,117,oats,2010,2.0257,Total Supply Chain Estimate
372,Ireland,1359.9,other fruits n.e.c. ,2010,5,Total Supply Chain Estimate
372,Ireland,1510,potatoes,2010,2.3832,Total Supply Chain Estimate
376,Israel,112,maize (corn),2010,1.7334,Total Supply Chain Estimate
376,Israel,112,maize (corn),2010,1.7334,Total Supply Chain Estimate
376,Israel,112,maize (corn),2010,1.7334,Total Supply Chain Estimate
376,Israel,114,sorghum,2010,0.3866,Total Supply Chain Estimate
376,Israel,115,barley,2010,0.1449,Total Supply Chain Estimate
376,Israel,1321,pomelos and grapefruits,2010,0.2935,Total Supply Chain Estimate
376,Israel,1322,lemons and limes,2010,0.2228,Total Supply Chain Estimate
376,Israel,1323,oranges,2010,0.5266,Total Supply Chain Estimate
376,Israel,1341,apples,2010,2.2818,Total Supply Chain Estimate
376,Israel,2211,raw milk of cattle,2010,0.7275,Total Supply Chain Estimate
380,Italy,111,wheat,2010,0.4895,Total Supply Chain Estimate
380,Italy,112,maize (corn),2010,0.1219,Total Supply Chain Estimate
380,Italy,112,maize (corn),2010,0.1219,Total Supply Chain Estimate
380,Italy,112,maize (corn),2010,0.1219,Total Supply Chain Estimate
380,Italy,115,barley,2010,0.1817,Total Supply Chain Estimate
