"geographicaream49","country","region","measureditemcpc","crop","timepointyears","loss_per_clean","percentage_loss_of_quantity","loss_quantity","loss_qualitiative","loss_monetary","activity","fsc_location1","periodofstorage","treatment","causeofloss","samplesize","units","method_datacollection","tag_datacollection","reference","url"
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5","","","0.527 Price of tomato, USD","","Retail","","","Rotting/Decay Over-Ripening","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain","","Interviews","-","Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf"
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5","","","0.273 Price of tomato, USD","","Traders","","","Physical Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain","","Interviews","-","Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf"
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,12.5,"12.5","","",".375 Price of tomato, USD","","Producer","","","Immaturity Insect Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain","","Interviews","-","Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf"
"116","Cambodia","","01213","Chinese Kale",2008,16.4,"16.4","","","","",,"","","","588","","Questionnaires","Survey","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01213","Chinese Kale",2008,16.4,"16.4","","","","",,"","","","588","","Questionnaires","-","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01232","Cucumber",2008,19.7,"19.7","","","","",,"","","","588","","Questionnaires","Survey","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01232","Cucumber",2008,19.7,"19.7","","","","",,"","","","588","","Questionnaires","-","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01234","Tomatoes",2008,24.6,"24.6","","","","",,"","","","588","","Questionnaires","-","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf"
"116","Cambodia","","01213","Chinese Kale",2005,16,"16","164","","","","Producer","","","Hot Weather During Harvest And Post Packaging","50","","Surveys","Survey","","http://www.measurepostharvestlosses.com/sites/default/files/phlveg.pdf"
"116","Cambodia","","01213","Chinese Kale",2005,16,"16","164","","","","Producer","","","Hot Weather During Harvest And Post Packaging","50","","Surveys","-","","http://www.measurepostharvestlosses.com/sites/default/files/phlveg.pdf"
"116","Cambodia","","01232","Cucumber",2005,19,"19","197","","","","Producer","","","Hot Weather During Harvest And Post Packaging","50","","Surveys","Survey","","http://www.measurepostharvestlosses.com/sites/default/files/phlveg.pdf"
"116","Cambodia","","01232","Cucumber",2005,19,"19","197","","","","Producer","","","Hot Weather During Harvest And Post Packaging","50","","Surveys","-","","http://www.measurepostharvestlosses.com/sites/default/files/phlveg.pdf"
"116","Cambodia","","01234","Tomatoes",2005,24.5,"24.5","246","","","","Producer","","","Hot Weather During Harvest And Post Packaging","50","","Surveys; Four types of questionnaires were developed to gather general and specific information by supply chainactor (retailer, processor, trader and farmer). The generic information sought included: socio-demographicdata, postharvest loss estimates, trading information (collaboration with other actors, product traitassessment using Likert-type questions, modes of transport used during purchase from suppliers anddelivery to buyers, types of packaging materials for incoming and outgoing products), marketing information(monthly volume of quantities purchased and sold, prices achieved, main trading partners, monthly turnoverof entire business), value-adding activities, and attitudes toward postharvest loss. For farmers, productionand harvesting practices were also obtained based on the past years production cycles.","-","Genova II et al","http://www.measurepostharvestlosses.com/sites/default/files/phlveg.pdf"
"12","Algeria","","01510","Potatoes",2005,25,"10.0-40","","","","",,"","","","","","","-","(Yahia 2005)","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf"
"120","Cameroon","","01313","Plantain",2013,35,"30-40","","","","","Total Supply Chain Estimate","","","rough handling, unprotected storage conditions, and poor transportation","","","","-","Cauthen et al. (2013)","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf"
"120","Cameroon","","0112","Maize (Corn)",2008,1.3,"1.3","","","","Transport to market","Transport","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2008,1.8,"1.8","","","","Threshing/Shelling","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2008,2.1,"2.1","","","","Transport to farm","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2008,3.8,"3.8","","","","Platform drying","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2008,5.1,"5.1","","","","Harvesting/field drying","Harvest","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2008,7.1,"7.1","","","","","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2008,2.1,"2.1","","","","Transport to farm","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2008,7.1,"7.1","","","","Farm storage","Storage","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2005,2.4,"2.4","","","","Transport to farm","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2004,2.4,"2.4","","","","Transport to farm","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2004,4.9,"4.9","","","","Farm storage","Storage","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2003,1.3,"1.3","","","","Threshing/Shelling","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2003,1.7,"1.7","","","","Transport to market","Transport","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2003,2.7,"2.7","","","","Market storage","Wholesale","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2003,4,"4","","","","Platform drying","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2003,4.9,"4.9","","","","","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0112","Maize (Corn)",2003,6.4,"6.4","","","","Harvesting/field drying","Harvest","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0113","Rice",2003,0.8,"0.8","","","","Farm storage","Storage","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0113","Rice",2003,1,"1","","","","Transport to market","Transport","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0113","Rice",2003,1.3,"1.3","","","","Transport to farm","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0113","Rice",2003,2.5,"2.5","","","","Winnowing","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0113","Rice",2003,2.7,"2.7","","","","Market storage","Wholesale","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0113","Rice",2003,3.1,"3.1","","","","Threshing & Shelling","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0113","Rice",2003,4.4,"4.4","","","","Harvesting/field drying","Harvest","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0114","Sorghum",2003,1,"1","","","","Transport to market","Transport","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0114","Sorghum",2003,2.2,"2.2","","","","Transport to farm","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0114","Sorghum",2003,2.7,"2.7","","","","Market storage","Wholesale","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0114","Sorghum",2003,2.9,"2.9","","","","Farm storage","Storage","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0114","Sorghum",2003,3.6,"3.6","","","","Threshing & Shelling","Producer","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"120","Cameroon","","0114","Sorghum",2003,4.6,"4.6","","","","Harvesting/field drying","Harvest","","","","","","Expert Opinon; Literature; Limited Sampling; Estimations","APHLIS","","https://www.aphlis.net/en/page/2/country-tables#/datatables/country-tables?lang=en&metric=prc&crop=324&year=2003"
"124","Canada",,"0111","wheat",2013,0.0551,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01211","asparagus",2013,7.0562,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01212","cabbages",2013,10.2026,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01213","cauliflowers and broccoli",2013,5.0266,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01214","lettuce and chicory",2013,5.2941,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01221","watermelons",2013,8.5861,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01229","cantaloupes and other melons",2013,6.6396,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01231","chillies and peppers, green (capsicum spp. and pimenta spp.)",2013,6.0614,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01232","cucumbers and gherkins",2013,13.8924,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01234","tomatoes",2013,7.959,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
"124","Canada",,"01241.90","other beans, green",2013,3.7905,,,,,,"Total Supply Chain Estimate",,,,,,,"Food Balance Sheet/Ag. Production Questionnaire",,
